method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
symqnet,32,777 778 779 780 781,778,runs/main_result/symqnet_seed_778/best_agent.pt,6fd9bd5b598b,heldout_validation_mse,0.06812999618705362,runs/main_result/validation_task_bank.npz,2133924d1237,cpu,cpu:x86_64,7849.172624393948,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07450730580948293,0.0735813946131058,0.07548892979182303,0.0723876804113388,0.035546486265957355,3.7305171257019043,1.6238862759886412,1.7895483039785176,7.613146574306302,37.99472259477479,9.800759555125195,40.240220366499855,,,777:0.074780903;778:0.074044475;779:0.074523521;780:0.074278493;781:0.074909137
symqnet,64,777 778 779 780 781,778,runs/main_result/symqnet_seed_778/best_agent.pt,6fd9bd5b598b,heldout_validation_mse,0.06812999618705362,runs/main_result/validation_task_bank.npz,08036af82a3a,cpu,cpu:x86_64,7849.172624393948,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07404308847747743,0.07296326722797937,0.07505802292283625,0.07236452773213387,0.03598913084715605,4.480460914993286,1.5490028122026058,1.6934577262494712,8.408831345150247,36.46756021351321,10.49650588113323,38.61726462132064,,,777:0.074938188;778:0.075319511;779:0.073045915;780:0.073845571;781:0.073066258
symqnet,128,777 778 779 780 781,778,runs/main_result/symqnet_seed_778/best_agent.pt,6fd9bd5b598b,heldout_validation_mse,0.06812999618705362,runs/main_result/validation_task_bank.npz,95012ddc6c51,cpu,cpu:x86_64,7849.172624393948,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07335846206508577,0.07234812431109137,0.074421064116247,0.07112157717347145,0.03578280657529831,5.513246335983276,1.7397947357488899,2.0182432960136794,10.296165933902376,38.28563157502795,12.650665596100348,40.755883998831266,,,777:0.073452663;778:0.074248947;779:0.072333563;780:0.073185387;781:0.073571751
symqnet,256,777 778 779 780 781,778,runs/main_result/symqnet_seed_778/best_agent.pt,6fd9bd5b598b,heldout_validation_mse,0.06812999618705362,runs/main_result/validation_task_bank.npz,2e96c06dd8ba,cpu,cpu:x86_64,7849.172624393948,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07404795127436518,0.07299524772526696,0.07505334023497068,0.07173184677958488,0.03721397556364536,6.935772584152222,1.7444746792976122,1.9435429522884078,12.792669209163996,39.48127352267038,15.137064901756174,41.90822517548222,,,777:0.073740077;778:0.073246133;779:0.075477177;780:0.073090691;781:0.074685678
symqnet,512,777 778 779 780 781,778,runs/main_result/symqnet_seed_778/best_agent.pt,6fd9bd5b598b,heldout_validation_mse,0.06812999618705362,runs/main_result/validation_task_bank.npz,6e5f82f77e62,cpu,cpu:x86_64,7849.172624393948,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07641188514195382,0.07522065313107335,0.07759738336959854,0.0729638896882534,0.04100893810391426,8.884371608734131,1.695155480149616,1.9690272162202747,15.387802794085454,39.29071805578424,17.66367922742178,41.67761022626655,,,777:0.075254746;778:0.077577851;779:0.076531853;780:0.076564785;781:0.076130191
symqnet,32,777 778 779 780 781,779,runs/main_result/symqnet_seed_779/best_agent.pt,805692425526,heldout_validation_mse,0.06418203366047237,runs/main_result/validation_task_bank.npz,2133924d1237,cpu,cpu:x86_64,9252.433404914918,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.06575132700633257,0.06464168732507154,0.06685188235774636,0.06192419305443764,0.03853669762611389,7.1354000244140625,1.992562731916809,2.6092446989379825,12.534226042387955,37.75508484835736,15.265233838230943,40.84603206679458,,,777:0.066918647;778:0.065169346;779:0.065530913;780:0.064825176;781:0.066312552
symqnet,64,777 778 779 780 781,779,runs/main_result/symqnet_seed_779/best_agent.pt,805692425526,heldout_validation_mse,0.06418203366047237,runs/main_result/validation_task_bank.npz,08036af82a3a,cpu,cpu:x86_64,9252.433404914918,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.06783768354337663,0.06662369047483895,0.06906421848071274,0.06278616562485695,0.04251969326287508,9.160289445495605,1.587488619967674,1.7070863780449144,12.536533758251203,37.41408483821433,14.66931023405632,39.596767731232106,,,777:0.06564519;778:0.070254365;779:0.066605947;780:0.068588033;781:0.068094882
symqnet,128,777 778 779 780 781,779,runs/main_result/symqnet_seed_779/best_agent.pt,805692425526,heldout_validation_mse,0.06418203366047237,runs/main_result/validation_task_bank.npz,95012ddc6c51,cpu,cpu:x86_64,9252.433404914918,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07163937045652419,0.0702966226492729,0.07299064537704922,0.06644804775714874,0.04476976674050093,11.128120098495483,1.5990127050084992,1.7405094613321126,12.93662887441848,38.100971601111816,15.083955279808853,40.31220088846749,,,777:0.071821902;778:0.070929632;779:0.071811483;780:0.071044527;781:0.072589309
symqnet,256,777 778 779 780 781,779,runs/main_result/symqnet_seed_779/best_agent.pt,805692425526,heldout_validation_mse,0.06418203366047237,runs/main_result/validation_task_bank.npz,2e96c06dd8ba,cpu,cpu:x86_64,9252.433404914918,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07391467657964676,0.07242135706751607,0.07539489113259129,0.06744279339909554,0.05084735248237848,13.073831946182251,1.609666897078407,1.717603321967181,13.08345571789606,37.38907488239929,15.25007952968202,39.60026593506336,,,777:0.072559596;778:0.073457654;779:0.07383882;780:0.073729749;781:0.075987564
symqnet,512,777 778 779 780 781,779,runs/main_result/symqnet_seed_779/best_agent.pt,805692425526,heldout_validation_mse,0.06418203366047237,runs/main_result/validation_task_bank.npz,6e5f82f77e62,cpu,cpu:x86_64,9252.433404914918,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07828121272632853,0.07670930885564768,0.08003132734298939,0.07096945121884346,0.055711389519274235,15.021613158798218,1.6009323276049043,1.7097173063317315,13.711852696779856,37.56766797543969,15.863855322163243,39.76656240843003,,,777:0.080275595;778:0.077390617;779:0.0754222;780:0.07763784;781:0.080679812
