method,shots,horizon,shot_time_us,decision_ms_mean,smc_update_ms_mean,quantum_ms_per_step,classical_ms_per_step,total_episode_time_ms
dad_transformer,32,36,100.0,0.6928830778989423,3.979292476940383,3.2,4.672175554839325,283.3983199742157
dad_transformer,32,36,1000.0,0.6928830778989423,3.979292476940383,32.0,4.672175554839325,1320.1983199742156
dad_transformer,32,36,10000.0,0.6928830778989423,3.979292476940383,320.0,4.672175554839325,11688.198319974215
dad_transformer,64,36,100.0,0.6899550259863544,4.08118844499113,6.4,4.771143470977485,402.16116495518946
dad_transformer,64,36,1000.0,0.6899550259863544,4.08118844499113,64.0,4.771143470977485,2475.761164955189
dad_transformer,64,36,10000.0,0.6899550259863544,4.08118844499113,640.0,4.771143470977485,23211.761164955187
dad_transformer,128,36,100.0,0.6955545333628025,4.032468289655581,12.8,4.728022823018383,631.0088216286617
dad_transformer,128,36,1000.0,0.6955545333628025,4.032468289655581,128.0,4.728022823018383,4778.208821628662
dad_transformer,128,36,10000.0,0.6955545333628025,4.032468289655581,1280.0,4.728022823018383,46250.208821628665
dad_transformer,256,36,100.0,0.7076280691492786,3.778923966858484,25.6,4.486552036007763,1083.1158732962797
dad_transformer,256,36,1000.0,0.7076280691492786,3.778923966858484,256.0,4.486552036007763,9377.51587329628
dad_transformer,256,36,10000.0,0.7076280691492786,3.778923966858484,2560.0,4.486552036007763,92321.51587329629
dad_transformer,512,36,100.0,0.9214801998990071,3.8753823759577544,51.2,4.796862575856761,2015.8870527308436
dad_transformer,512,36,1000.0,0.9214801998990071,3.8753823759577544,512.0,4.796862575856761,18604.687052730842
dad_transformer,512,36,10000.0,0.9214801998990071,3.8753823759577544,5120.0,4.796862575856761,184492.68705273085
dad_transformer,32,36,100.0,0.9404832454825132,10.365084336347516,3.2,11.30556758183003,522.2004329458811
dad_transformer,32,36,1000.0,0.9404832454825132,10.365084336347516,32.0,11.30556758183003,1559.000432945881
dad_transformer,32,36,10000.0,0.9404832454825132,10.365084336347516,320.0,11.30556758183003,11927.000432945882
dad_transformer,64,36,100.0,1.0570540313751229,11.552235513562078,6.4,12.609289544937202,684.3344236177392
dad_transformer,64,36,1000.0,1.0570540313751229,11.552235513562078,64.0,12.609289544937202,2757.934423617739
dad_transformer,64,36,10000.0,1.0570540313751229,11.552235513562078,640.0,12.609289544937202,23493.934423617742
dad_transformer,128,36,100.0,0.7068408526376717,11.886987517254116,12.8,12.593828369891789,914.1778213161044
dad_transformer,128,36,1000.0,0.7068408526376717,11.886987517254116,128.0,12.593828369891789,5061.377821316104
dad_transformer,128,36,10000.0,0.7068408526376717,11.886987517254116,1280.0,12.593828369891789,46533.377821316106
dad_transformer,256,36,100.0,0.7114587061534015,13.800963495797221,25.6,14.512422201950622,1444.0471992702223
dad_transformer,256,36,1000.0,0.7114587061534015,13.800963495797221,256.0,14.512422201950622,9738.447199270224
dad_transformer,256,36,10000.0,0.7114587061534015,13.800963495797221,2560.0,14.512422201950622,92682.44719927022
dad_transformer,512,36,100.0,0.7411474519874901,17.637896741120816,51.2,18.379044193108307,2504.845590951899
dad_transformer,512,36,1000.0,0.7411474519874901,17.637896741120816,512.0,18.379044193108307,19093.6455909519
dad_transformer,512,36,10000.0,0.7411474519874901,17.637896741120816,5120.0,18.379044193108307,184981.6455909519
